Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily_Return,Moving_Avg_20,Moving_Avg_50,Volume_MA_20
2024-04-09 00:00:00+05:30,627.93,628.58,594.39,611.09,8876328,0.0,0.0,-2.29,526.51,508.73,4612166.35
2024-04-10 00:00:00+05:30,613.48,627.93,610.04,614.03,3433168,0.0,0.0,0.48,531.85,511.29,4701462.85
2024-04-12 00:00:00+05:30,614.97,625.34,607.6,614.43,3756080,0.0,0.0,0.06,537.19,513.69,4707026.5
2024-04-15 00:00:00+05:30,589.26,613.98,586.42,607.5,2834063,0.0,0.0,-1.13,544.59,516.07,4570980.55
2024-04-16 00:00:00+05:30,604.01,609.99,594.54,600.07,4629977,0.0,0.0,-1.22,550.83,518.01,4642569.15
2024-04-18 00:00:00+05:30,600.07,630.92,600.07,626.44,5774203,0.0,0.0,4.39,557.33,520.74,4634182.8
2024-04-19 00:00:00+05:30,619.96,636.6,609.64,624.64,3564737,0.0,0.0,-0.29,563.88,523.6,4679261.95
2024-04-22 00:00:00+05:30,647.87,647.87,605.06,609.44,4322386,0.0,0.0,-2.43,570.29,525.97,4802973.65
2024-04-23 00:00:00+05:30,614.23,622.2,607.0,614.33,3430025,0.0,0.0,0.8,576.63,528.45,4891105.2
2024-04-24 00:00:00+05:30,617.91,623.84,593.05,598.43,3340579,0.0,0.0,-2.59,581.4,530.57,4935162.25
2024-04-25 00:00:00+05:30,601.02,611.63,600.12,602.71,1539624,0.0,0.0,0.72,585.85,532.53,4878298.3
2024-04-26 00:00:00+05:30,603.96,607.25,597.18,598.93,1929533,0.0,0.0,-0.63,590.22,534.53,4854477.7
2024-04-29 00:00:00+05:30,601.97,604.01,595.04,601.32,917096,0.0,0.0,0.4,594.54,536.65,4741842.55
2024-04-30 00:00:00+05:30,603.71,629.92,602.07,627.48,5137464,0.0,0.0,4.35,599.56,539.49,4788333.25
2024-05-02 00:00:00+05:30,630.02,644.23,628.93,636.15,2927025,0.0,0.0,1.38,605.53,542.65,4807322.35
2024-05-03 00:00:00+05:30,636.15,643.78,618.86,640.09,2585406,0.0,0.0,0.62,610.51,545.8,4734540.0
2024-05-06 00:00:00+05:30,640.14,640.54,609.64,615.52,2715347,0.0,0.0,-3.84,612.31,548.53,3991798.65
2024-05-07 00:00:00+05:30,617.71,618.61,577.1,582.13,4215319,0.0,0.0,-5.42,612.36,550.22,3801396.4
2024-05-08 00:00:00+05:30,590.06,615.92,551.33,555.42,11177701,0.0,0.0,-4.59,610.28,551.55,4179103.25
2024-05-09 00:00:00+05:30,564.14,580.69,523.28,529.21,10773010,0.0,0.0,-4.72,605.47,552.47,4393953.55
2024-05-10 00:00:00+05:30,536.23,572.11,518.49,568.38,10273764,0.0,0.0,7.4,603.33,554.11,4463825.35
2024-05-13 00:00:00+05:30,568.38,574.61,550.19,572.51,3934451,0.0,0.0,0.73,601.26,555.46,4488889.5
2024-05-14 00:00:00+05:30,575.95,601.87,571.17,597.73,6001660,0.0,0.0,4.4,600.42,556.98,4601168.5
2024-05-15 00:00:00+05:30,603.01,633.51,590.35,596.09,7636943,0.0,0.0,-0.28,599.85,558.49,4841312.5
2024-05-16 00:00:00+05:30,602.12,609.99,588.41,592.2,4501917,0.0,0.0,-0.65,599.46,560.22,4834909.5
2024-05-17 00:00:00+05:30,593.99,607.55,586.32,591.95,3776753,0.0,0.0,-0.04,597.73,561.93,4735037.0
2024-05-21 00:00:00+05:30,597.93,615.92,589.81,601.92,4562832,0.0,0.0,1.68,596.6,563.92,4784941.75
2024-05-22 00:00:00+05:30,604.96,617.86,599.52,607.45,5160226,0.0,0.0,0.92,596.5,565.77,4826833.75
2024-05-23 00:00:00+05:30,609.89,623.94,608.89,615.42,4278722,0.0,0.0,1.31,596.55,567.92,4869268.6
2024-05-24 00:00:00+05:30,617.96,625.39,594.59,598.68,5408025,0.0,0.0,-2.72,596.56,569.69,4972640.9
2024-05-27 00:00:00+05:30,601.82,621.1,594.09,619.06,4677642,0.0,0.0,3.4,597.38,571.8,5129541.8
2024-05-28 00:00:00+05:30,622.2,628.93,606.35,610.94,3934824,0.0,0.0,-1.31,597.98,573.87,5229806.35
2024-05-29 00:00:00+05:30,612.98,619.96,600.62,602.22,3836768,0.0,0.0,-1.43,598.03,575.76,5375789.95
2024-05-30 00:00:00+05:30,605.21,620.95,594.64,607.0,6029013,0.0,0.0,0.79,597.0,578.71,5420367.4
2024-05-31 00:00:00+05:30,616.0,630.0,599.4,613.0,47181863,2.0,0.0,0.99,595.85,581.47,7633109.3
2024-06-03 00:00:00+05:30,644.0,663.8,640.0,658.7,6599899,0.0,0.0,7.46,596.78,584.71,7833833.95
2024-06-04 00:00:00+05:30,661.0,661.0,528.0,553.3,11657328,0.0,0.0,-16.0,593.66,585.9,8280933.0
2024-06-05 00:00:00+05:30,575.7,615.0,553.3,608.55,5764910,0.0,0.0,9.99,594.99,588.45,8358412.55
2024-06-06 00:00:00+05:30,614.6,630.0,606.55,625.1,3961169,0.0,0.0,2.72,598.47,591.2,7997585.95
2024-06-07 00:00:00+05:30,628.25,628.45,614.35,625.95,1813016,0.0,0.0,0.14,603.31,593.66,7549586.25
2024-06-10 00:00:00+05:30,629.4,640.45,622.15,629.65,1989705,0.0,0.0,0.59,606.37,595.98,7135383.3
2024-06-11 00:00:00+05:30,632.8,640.9,626.15,638.0,1909258,0.0,0.0,1.33,609.64,598.51,7034123.65
2024-06-12 00:00:00+05:30,640.0,655.0,635.15,650.25,2218295,0.0,0.0,1.92,612.27,601.22,6844955.4
2024-06-13 00:00:00+05:30,656.8,668.85,649.2,659.45,1872711,0.0,0.0,1.41,615.44,603.86,6556743.8
2024-06-14 00:00:00+05:30,662.0,687.35,657.05,683.6,4521695,0.0,0.0,3.66,620.01,607.2,6557732.7
2024-06-18 00:00:00+05:30,694.0,713.45,687.55,706.7,7214644,0.0,0.0,3.38,625.75,610.53,6729627.25
2024-06-19 00:00:00+05:30,712.5,713.75,683.9,698.4,2885290,0.0,0.0,-1.17,630.57,612.9,6645750.15
2024-06-20 00:00:00+05:30,700.5,711.85,697.5,707.1,2111730,0.0,0.0,1.25,635.55,615.42,6493325.35
2024-06-21 00:00:00+05:30,707.1,728.0,700.0,723.65,8848978,0.0,0.0,2.34,640.96,617.95,6721838.15
2024-06-24 00:00:00+05:30,730.0,750.0,724.0,747.1,4406730,0.0,0.0,3.24,648.39,620.39,6671773.4
2024-06-25 00:00:00+05:30,748.0,750.0,716.2,720.1,3018884,0.0,0.0,-3.61,653.44,622.57,6588835.5
2024-06-26 00:00:00+05:30,723.0,726.65,709.05,712.3,2418464,0.0,0.0,-1.08,658.51,624.53,6513017.5
2024-06-27 00:00:00+05:30,720.0,740.95,717.45,735.55,5922164,0.0,0.0,3.26,665.17,626.96,6617287.3
2024-06-28 00:00:00+05:30,739.25,744.0,726.35,734.5,1977411,0.0,0.0,-0.14,671.55,629.5,6414707.2
2024-07-01 00:00:00+05:30,739.85,752.0,735.95,750.2,2266634,0.0,0.0,2.14,678.41,632.5,4168945.75
2024-07-02 00:00:00+05:30,750.4,750.8,727.4,730.5,2628190,0.0,0.0,-2.63,682.0,634.58,3970360.3
2024-07-03 00:00:00+05:30,734.0,739.6,720.0,733.15,1748858,0.0,0.0,0.36,690.99,636.75,3474936.8
2024-07-04 00:00:00+05:30,732.7,736.8,722.1,725.05,1864598,0.0,0.0,-1.1,696.81,639.06,3279921.2
2024-07-05 00:00:00+05:30,726.95,749.0,716.4,736.6,2439370,0.0,0.0,1.59,702.39,641.51,3203831.25
2024-07-08 00:00:00+05:30,742.8,746.85,732.45,742.2,904143,0.0,0.0,0.76,708.2,644.38,3158387.6
2024-07-09 00:00:00+05:30,742.0,744.45,719.0,723.0,1464545,0.0,0.0,-2.59,712.87,646.79,3132129.6
2024-07-10 00:00:00+05:30,727.0,728.8,695.85,724.4,1544967,0.0,0.0,0.19,717.19,649.3,3113915.05
2024-07-11 00:00:00+05:30,731.7,740.5,710.1,713.0,2727483,0.0,0.0,-1.57,720.33,651.53,3139374.45
2024-07-12 00:00:00+05:30,715.0,722.9,708.0,713.15,1542953,0.0,0.0,0.02,723.01,653.25,3122886.55
2024-07-15 00:00:00+05:30,721.35,724.0,699.4,720.45,1560037,0.0,0.0,1.02,724.86,654.93,2974803.65
2024-07-16 00:00:00+05:30,718.95,723.4,705.0,708.35,2140798,0.0,0.0,-1.68,724.94,656.3,2721111.35
2024-07-18 00:00:00+05:30,710.0,717.25,696.3,712.75,2792221,0.0,0.0,0.62,725.65,658.24,2716457.9
2024-07-19 00:00:00+05:30,712.9,717.75,685.55,705.0,2884304,0.0,0.0,-1.09,725.55,660.7,2755086.6
2024-07-22 00:00:00+05:30,717.0,726.0,702.55,709.8,3969726,0.0,0.0,0.68,724.86,663.79,2511124.0
2024-07-23 00:00:00+05:30,717.8,731.95,682.0,697.1,4066282,0.0,0.0,-1.79,722.36,667.14,2494101.6
2024-07-24 00:00:00+05:30,699.0,703.9,680.1,682.35,1984059,0.0,0.0,-2.12,720.47,669.42,2442360.35
2024-07-25 00:00:00+05:30,682.35,689.45,666.0,668.15,3964959,0.0,0.0,-2.08,718.26,671.34,2519685.1
2024-07-26 00:00:00+05:30,670.0,705.8,670.0,693.55,3724008,0.0,0.0,3.8,716.16,673.25,2409777.3
2024-07-29 00:00:00+05:30,698.05,702.7,680.7,692.25,3882488,0.0,0.0,-0.19,714.05,675.18,2505031.15
2024-07-30 00:00:00+05:30,692.0,728.5,691.05,715.25,5078790,0.0,0.0,3.32,712.3,677.64,2645638.95
2024-07-31 00:00:00+05:30,722.0,729.9,716.8,728.0,2972729,0.0,0.0,1.78,712.18,680.36,2662865.9
2024-08-01 00:00:00+05:30,728.5,748.0,722.55,727.65,4012480,0.0,0.0,-0.05,711.9,682.87,2776047.0
2024-08-02 00:00:00+05:30,735.0,735.15,711.0,722.05,1620560,0.0,0.0,-0.77,711.75,685.16,2763845.1
2024-08-05 00:00:00+05:30,691.0,704.55,676.0,684.45,2592232,0.0,0.0,-5.21,709.15,686.54,2771488.2
